Fecha Modificacion;Fecha Descarga;Cod. Puesto;Dotacion;Puesto;Cod. Departamento-Organismo Autonomo;Departamento-Organismo Autonomo;Cod. Centro Organico;Centro Organico;Cod. Centro Destino;Centro Destino;Categoria Retributiva;Perfil Linguistico;Fecha de Preceptividad;Importe retributivo
09/05/2016;09/03/2017;3052;6;LIMPIADOR/A;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;1;;22.155,70
09/05/2016;09/03/2017;3052;7;LIMPIADOR/A;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;1;;22.155,70
09/05/2016;09/03/2017;3052;8;LIMPIADOR/A;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;1;1;;22.155,70
09/05/2016;09/03/2017;3061;1;TECNICO DE MANTENIMIENTO;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;2;;29.041,18
09/05/2016;09/03/2017;3061;2;TECNICO DE MANTENIMIENTO;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;2;31/10/1994;29.041,18
09/05/2016;09/03/2017;3427;1;ORDENANZA MANTENIMIENTO;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;304;PALACIO ARTAZA;2;1;31/10/2000;23.612,82
09/05/2016;09/03/2017;3459;1;CONDUCTOR DE DEPARTAMENTO;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;1;31/03/2014;29.041,18
09/05/2016;09/03/2017;3459;2;CONDUCTOR DE DEPARTAMENTO;1;LEHENDAKARITZA;11400000000;DIRECCION DE SERVICIOS;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;6;1;;29.041,18
09/05/2016;09/03/2017;3179;1;TECNICO IMAGEN;1;LEHENDAKARITZA;11500000000;DIRECCION DE GOBIERNO ABIERTO;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;10;2;31/03/2007;36.704,96
09/05/2016;09/03/2017;3542;1;TECNICO ESPECIALISTA DE ACCION EXTERIOR;1;LEHENDAKARITZA;12100000000;DIRECCION DE RELACIONES EXTERIORES;1106;SECRETARIA PARA LA PRESIDENCIA DEL GOBIERNO;16;3;;61.785,12
