Nombre Apellidos,Cargo Publico,Retribuciones2014Retribuciones2015,Fecha Inicio Relacion,Fecha Fin Relacion,Id_Dpto,Departamento,Id_Organo,Organo,Id_Centro_Organico,Centro Organico,Fecha Actualizacion
JOSEBA IMANOL ABURTO ERDOIZA,DIRECTOR/A,1062212,18/01/2013,27/02/2014,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3230000,DIRECCION DE INTERNACIONALIZACION,30/11/2015
JUAN MARIA ABURTO,CONSEJERO/A DEL DEPARTAMENTO,8931209,17/12/2012,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,30/11/2015
JUAN MARIA ABURTO,CONSEJERO/A DEL DEPARTAMENTO,1013691,17/12/2012,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
MIREN ITZIAR AGIRRE BERRIOTXOA,DIRECTOR/A,6708704,18/01/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5410000,DIRECCION DE ADMINISTRACION TRIBUTARIA,30/11/2015
MIREN ITZIAR AGIRRE BERRIOTXOA,DIRECTOR/A,6708702,18/01/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5410000,DIRECCION DE ADMINISTRACION TRIBUTARIA,22/06/2016
JAVIER AGIRRE ORCAJO,DIRECTOR/A GENERAL DE LA SOCIEDAD,7912486,15/03/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,171,IHOBE SA Sociedad Publica de Gestion Ambiental,171010000,IHOBE SA Sociedad Publica de Gestion Ambiental,30/11/2015
JAVIER AGIRRE ORCAJO,DIRECTOR/A GENERAL DE LA SOCIEDAD,8067843,15/03/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,171,IHOBE SA Sociedad Publica de Gestion Ambiental,171010000,DIRECCION GENERAL / GERENCIA,22/06/2016
ALBERRO IMANOL AGOTE,DIRECTOR/A,7284285,10/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6610000,DIRECCION DE PATRIMONIO CULTURAL,30/11/2015
IMANOL AGOTE ALBERRO,DIRECTOR/A,7426958,10/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6610000,DIRECCION DE PATRIMONIO CULTURAL,22/06/2016
EDUARDO AGUINACO LOPEZ DE SUSO,DIRECTOR/A,6708704,18/01/2013,06/07/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3420000,DIRECCION DE AGRICULTURA Y GANADERIA,30/11/2015
EDUARDO AGUINACO LOPEZ DE SUSO,DIRECTOR/A,3444662,18/01/2013,06/07/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3420000,DIRECCION DE AGRICULTURA Y GANADERIA,22/06/2016
LAURA AGUIRRE ALBERDI,DIRECTOR/A ECONOMICOFINANCIERO GR3,6349622,01/02/1998,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60132000,ORGANIZACION SANITARIA INTEGRADA GOIERRIALTO UROLA,30/11/2015
LAURA AGUIRRE ALBERDI,DIRECTOR/A ECONOMICOFINANCIERO GR3,6484338,01/02/1998,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60132000,ORGANIZACION SANITARIA INTEGRADA GOIERRIALTO UROLA,22/06/2016
JOSU AGUIRRE GOITIA,DIRECTOR/A,7132019,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6140000,DIRECCION DE REGIMEN JURIDICO Y SERVICIOS,30/11/2015
JOSU AGUIRRE GOITIA,DIRECTOR/A,7247214,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6140000,DIRECCION DE REGIMEN JURIDICO Y SERVICIOS,22/06/2016
MARIA AGUIRRE RUEDA ,DIRECTOR/A,6708704,19/04/2013,,8,08  SALUD,8,Departamento de Salud,8140000,DIRECCION DE INVESTIGACION E INNOVACION SANITARIA,30/11/2015
MARIA AGUIRRE RUEDA ,DIRECTOR/A,6708702,19/04/2013,,8,08  SALUD,8,Departamento de Salud,8140000,DIRECCION DE INVESTIGACION E INNOVACION SANITARIA,22/06/2016
