Date,Benceno (�g/m3),CO (mg/m3),CO 8h max (mg/m3),CO 8h max - ICA,Etilbenceno (�g/m3),NO (�g/m3),NO2 (�g/m3),NO2 max (�g/m3),NO2 - ICA,NOX (�g/m3),Ortoxileno (�g/m3),PM10 (�g/m3),PM10 - ICA,PM2.5 (�g/m3),PM2.5 - ICA,Tolueno (�g/m3),ICA Estaci�n
08/03/2017,0.38,0.23,0.32,Muy buena / Oso ona,0.66,11,29,57,Buena / Ona,44,2.06,16,Muy buena / Oso ona,8,Muy buena / Oso ona,2.38,Buena / Ona
07/03/2017,0.41,0.19,,Sin datos / Daturik gabe,0.61,,22,73,Buena / Ona,29,,26,Buena / Ona,7,Muy buena / Oso ona,1.16,Buena / Ona
06/03/2017,0.19,0.17,0.21,Muy buena / Oso ona,0.05,,14,29,Muy buena / Oso ona,18,,16,Muy buena / Oso ona,5,Muy buena / Oso ona,,Muy buena / Oso ona
05/03/2017,0.28,0.19,0.31,Muy buena / Oso ona,0.07,,12,30,Muy buena / Oso ona,14,,7,Muy buena / Oso ona,4,Muy buena / Oso ona,,Muy buena / Oso ona
04/03/2017,0.34,0.21,,Sin datos / Daturik gabe,0.06,,23,72,Buena / Ona,30,,8,Muy buena / Oso ona,4,Muy buena / Oso ona,,Buena / Ona
03/03/2017,0.39,,,Sin datos / Daturik gabe,0.17,,24,75,Buena / Ona,39,,16,Muy buena / Oso ona,6,Muy buena / Oso ona,1.13,Buena / Ona
02/03/2017,0.32,0.22,0.27,Muy buena / Oso ona,0.09,7,27,86,Buena / Ona,36,,11,Muy buena / Oso ona,6,Muy buena / Oso ona,0.84,Buena / Ona
01/03/2017,0.7,0.24,0.38,Muy buena / Oso ona,0.32,22,28,75,Buena / Ona,55,,13,Muy buena / Oso ona,6,Muy buena / Oso ona,,Buena / Ona
28/02/2017,0.24,0.17,0.19,Muy buena / Oso ona,0.07,,15,56,Buena / Ona,17,,8,Muy buena / Oso ona,4,Muy buena / Oso ona,,Buena / Ona
27/02/2017,0.26,0.17,0.25,Muy buena / Oso ona,0.05,,11,31,Muy buena / Oso ona,12,,9,Muy buena / Oso ona,5,Muy buena / Oso ona,,Muy buena / Oso ona
26/02/2017,0.76,0.3,0.5,Muy buena / Oso ona,0.19,17,37,77,Buena / Ona,64,,23,Muy buena / Oso ona,14,Muy buena / Oso ona,2.35,Buena / Ona
25/02/2017,0.59,0.3,0.39,Muy buena / Oso ona,0.42,21,42,82,Buena / Ona,71,,16,Muy buena / Oso ona,8,Muy buena / Oso ona,2.26,Buena / Ona
24/02/2017,0.37,0.19,0.27,Muy buena / Oso ona,0.05,8,29,51,Buena / Ona,39,,16,Muy buena / Oso ona,6,Muy buena / Oso ona,0.57,Buena / Ona
23/02/2017,1.61,0.37,0.62,Muy buena / Oso ona,0.8,55,46,111,Mejorable / Hobetzeko modukoa,124,3.82,49,Buena / Ona,24,Buena / Ona,8.4,Mejorable / Hobetzeko modukoa
22/02/2017,1.22,0.39,0.54,Muy buena / Oso ona,0.75,46,55,82,Buena / Ona,121,3.36,25,Muy buena / Oso ona,14,Muy buena / Oso ona,5.99,Buena / Ona
21/02/2017,0.49,0.31,,Sin datos / Daturik gabe,0.34,19,40,67,Buena / Ona,66,2.1,18,Muy buena / Oso ona,9,Muy buena / Oso ona,2.24,Buena / Ona
