"FechaHora","Fecha","Hora","DirMed_a_1100cm","Humedad_a_620cm","Irradia_a_200cm","Presion_a_150cm","SigDir_a_1100cm","SigVel_a_1100cm","TemAire_a_620cm","VelMax_a_1100","VelMedia_a_1100cm"
"42736","2017/1/01","00:00","247.3","93","0.89","964.08","66.02","0.5600000000000001","2.4","2.35","0.51"
"42736.00694444445","2017/1/01","00:10","257.2","93.7","1.17","964.02","28.71","0.59","2.26","2.74","1.06"
"42736.01388888889","2017/1/01","00:20","233.5","93.7","1.47","963.89","40.88","0.6","2.15","2.65","1"
"42736.02083333334","2017/1/01","00:30","232.7","92.40000000000001","1.21","963.74","24.92","0.77","2.25","3.04","1.34"
"42736.02777777778","2017/1/01","00:40","259.2","92.59999999999999","1.04","963.6","32.26","0.8","2.04","3.33","1.32"
"42736.03472222222","2017/1/01","00:50","255.3","91.40000000000001","1.04","963.49","24.39","0.77","1.94","3.82","1.43"
"42736.04166666666","2017/1/01","01:00","258.3","91.5","1.36","963.35","21.88","0.77","1.87","3.53","1.77"
"42736.04861111111","2017/1/01","01:10","236.2","93","1.14","963.3099999999999","18.54","0.64","1.7","3.14","1.62"
"42736.05555555555","2017/1/01","01:20","222.2","92.7","1.31","963.2","60.14","0.54","2.01","2.16","0.64"
"42736.0625","2017/1/01","01:30","284.8","91.5","1.2","963.16","16.29","0.36","2.05","1.47","0.6899999999999999"
"42736.06944444445","2017/1/01","01:40","272.2","91.59999999999999","1.29","963.0700000000001","19.22","0.43","2.05","2.06","1.09"
"42736.07638888889","2017/1/01","01:50","234.8","91.90000000000001","1.05","963.05","16.04","0.87","1.83","4.02","2.05"
"42736.08333333334","2017/1/01","02:00","207.1","94","1.36","963","42.58","0.72","1.54","3.63","1.86"
"42736.09027777778","2017/1/01","02:10","229.2","93.2","1.15","963.01","54.5","0.47","1.95","2.06","0.58"
"42736.09722222222","2017/1/01","02:20","246.3","91.5","1.21","962.97","43.65","0.5600000000000001","1.98","2.35","1.01"
"42736.10416666666","2017/1/01","02:30","192.6","91.09999999999999","1.2","962.9","52.9","0.54","2.12","2.25","0.5600000000000001"
